marca,modelo,precio_contado,financiacion_disponible,descuento,precio_final,ubicacion,kilometraje,combustible_Diésel,combustible_Eléctrico,combustible_Gas,combustible_Gasolina,combustible_Híbrido,combustible_Híbrido Enchufable,combustible_nan,es_km0,es_demo,transmision,tipo_carroceria,asientos,potencia,puertas,mes_matriculacion2,año_matriculacion2,garantia_limpia,transmision_cod
MERCEDES-BENZ,Clase A 200 Sedán,40900.0,0,0.0,40900.0,Córdoba,10.0,False,False,False,True,False,False,False,True,False,Automático,Desconocido,5.0,163.0,4.0,1.0,2025.0,24,0
BMW,X1 iX1 eDrive20,42900.0,1,0.0,42900.0,León,5145.0,False,True,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,204.0,5.0,9.0,2024.0,24,0
BMW,X5 xDrive 30dA xLine,78900.0,1,0.0,78900.0,León,12356.0,True,False,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,298.0,5.0,5.0,2024.0,24,0
CITROEN,C3 PureTech 60KW (83CV) Max,14490.0,1,0.0,14490.0,Zaragoza,15730.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,83.0,5.0,3.0,2024.0,24,1
MERCEDES-BENZ,Citan Tourer 110CDI Base,22293.0,1,0.0,22293.0,Barcelona,43191.0,True,False,False,False,False,False,False,False,False,Manual,Monovolumen,5.0,95.0,5.0,5.0,2023.0,36,1
SKODA,Octavia 2.0TDI Selection DSG 110kW,24500.0,1,0.0,24500.0,Pontevedra,108440.0,True,False,False,False,False,False,False,False,False,Automático,Berlina,5.0,150.0,5.0,9.0,2023.0,12,0
AUDI,Q2 S LINE 30 TDI  85(116) KW(CV) 6 VEL.,31300.0,1,-0.02,30674.0,Murcia,15314.0,True,False,False,False,False,False,False,False,False,Manual,Desconocido,0.0,116.0,5.0,2.0,2024.0,12,1
LEXUS,UX 300e Business,37990.0,1,0.0,37990.0,Sevilla,3612.0,False,True,False,False,False,False,False,False,True,Automático,Todo Terreno,5.0,204.0,5.0,5.0,2024.0,24,0
PEUGEOT,308 SW 1.5 BlueHDi S&S Allure EAT8 130,19700.0,1,0.0,19700.0,Pontevedra,104965.0,True,False,False,False,False,False,False,False,False,Automático,Stationwagon,5.0,130.0,5.0,8.0,2022.0,12,0
BMW,i5 eDrive40 250 kW (340 CV),54900.0,1,0.0,54900.0,León,227.0,False,True,False,False,False,False,False,True,False,Automático,Desconocido,0.0,218.0,4.0,3.0,2024.0,24,0
LAND-ROVER,Range Rover Evoque D150 AWD Auto,23600.0,1,0.0,23600.0,Madrid,170000.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,0.0,150.0,5.0,7.0,2020.0,12,0
CITROEN,C5 Aircross PureTech S&S Feel 130,15990.0,1,0.0,15990.0,Zaragoza,57938.0,False,False,False,True,False,False,False,False,False,Manual,Todo Terreno,5.0,130.0,5.0,9.0,2020.0,12,1
NISSAN,Qashqai 1.5dCi N-Connecta 4x2 85kW,18800.0,0,0.0,18800.0,Vizcaya,90337.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,115.0,5.0,12.0,2018.0,12,1
FORD,Focus TITANIUM 1.0 ECOBOOST 125 5P,9490.0,1,0.0,9490.0,Tarragona,133625.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,125.0,5.0,10.0,2015.0,12,1
PEUGEOT,3008 GT LINE,16000.0,0,0.0,16000.0,Barcelona,152000.0,True,False,False,False,False,False,False,False,False,Manual,Desconocido,0.0,130.0,5.0,4.0,2019.0,12,1
MERCEDES-BENZ,Clase GLC 300 e 4MATIC,67900.0,0,0.0,67900.0,Córdoba,6770.0,False,False,False,False,True,False,False,False,False,Automático,Desconocido,0.0,204.0,5.0,2.0,2023.0,36,0
NISSAN,Leaf 62KWH E+ N-CONNECTA 62KWH 217 5P,20600.0,1,0.0,20600.0,Barcelona,22445.0,False,True,False,False,False,False,False,False,False,Automático,Desconocido,0.0,217.0,5.0,6.0,2021.0,12,0
VOLKSWAGEN,Tiguan 2.0TDI Advance DSG 110kW,23700.0,1,0.0,23700.0,Pontevedra,116057.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,0.0,0.0,5.0,7.0,2020.0,12,0
FORD,Focus 1.0 ECOBOOST MHEV 92KW ACTIVE X 125 5P,22300.0,1,0.0,22300.0,Barcelona,8483.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,125.0,5.0,10.0,2023.0,60,1
MAZDA,3 2.0 e-Skyactiv-G Homura Aut. 110kW,25990.0,1,0.0,25990.0,Albacete,56992.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,5.0,150.0,5.0,9.0,2022.0,12,0
MERCEDES-BENZ,Clase B 180d,22700.0,1,0.0,22700.0,Pontevedra,107411.0,True,False,False,False,False,False,False,False,False,Automático,Monovolumen,5.0,116.0,5.0,1.0,2021.0,12,0
AUDI,A5 Q5 SPORTBACK TODOTERRENO 2.0 40 TDI S TRONIC QUATTRO S LINE 204 5P,52800.0,1,0.0,52800.0,Murcia,15520.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,0.0,204.0,5.0,12.0,2023.0,12,0
MERCEDES-BENZ,Clase B 180 CDI AUTO BUSINESS 116,19700.0,1,0.0,19700.0,Pontevedra,128042.0,True,False,False,False,False,False,False,False,False,Automático,Familiar,0.0,116.0,5.0,5.0,2019.0,12,0
AUDI,A4 Avant 35 TDI Advanced S tronic 120kW,23700.0,1,0.0,23700.0,Pontevedra,97422.0,True,False,False,False,False,False,False,False,False,Automático,Stationwagon,5.0,163.0,5.0,1.0,2020.0,12,0
KIA,XCeed 1.6 GDi PHEV 104kW (141CV) eDrive,29500.0,0,0.0,29500.0,Vizcaya,8125.0,False,False,False,False,True,False,False,False,False,Automático,Desconocido,0.0,141.0,5.0,3.0,2023.0,60,0
VOLVO,XC60 2.0 B4 G CORE AUTO 197 5P,37900.0,1,0.0,37900.0,Córdoba,36948.0,False,False,False,False,True,False,False,False,False,Automático,Desconocido,0.0,197.0,5.0,12.0,2022.0,12,0
NISSAN,X-Trail 1.5 e-POWER 204cv A/T 5 plazas N-Connecta,37900.0,1,0.0,37900.0,La Coruña,12.0,False,False,False,False,True,False,False,True,False,Automático,Desconocido,0.0,204.0,5.0,1.0,2024.0,12,0
LEXUS,NX 300h Business 2WD,29990.0,1,0.0,29990.0,Sevilla,98487.0,False,False,False,False,True,False,False,False,False,Automático,Todo Terreno,5.0,197.0,5.0,10.0,2020.0,24,0
KIA,Sportage 1.6 T-GDi PHEV 198kW (265CV) Tech 4x4,39500.0,0,0.0,39500.0,Vizcaya,11000.0,False,False,False,False,True,False,False,False,False,Automático,Desconocido,0.0,265.0,5.0,10.0,2023.0,72,0
VOLKSWAGEN,Tiguan 2.0TDI Life 110kW,24500.0,1,0.0,24500.0,Pontevedra,117573.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,150.0,5.0,4.0,2021.0,12,1
MERCEDES-BENZ,Clase GLA 250 e,49900.0,0,0.0,49900.0,Córdoba,9999.0,False,False,False,False,True,False,False,False,False,Automático,Desconocido,0.0,160.0,5.0,4.0,2023.0,36,0
AUDI,A3 1.6TDI CD Attraction S-Tronic,19900.0,0,0.0,19900.0,Vizcaya,90762.0,True,False,False,False,False,False,False,False,False,Automático,Berlina,5.0,110.0,3.0,5.0,2017.0,12,0
PEUGEOT,2008 1.5BlueHDi S&S Active 110,16300.0,0,0.0,16300.0,Vizcaya,86683.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,110.0,5.0,6.0,2021.0,12,1
KIA,XCeed 1.6 GDi PHEV 104kW (141CV) eDrive,29994.0,0,0.0,29994.0,Vizcaya,12890.0,False,False,False,False,True,False,False,False,False,Automático,Desconocido,0.0,141.0,5.0,4.0,2023.0,60,0
KIA,Ceed 1.6 MHEV iMT Drive 136,22490.0,1,0.0,22490.0,Albacete,19065.0,True,False,False,False,False,False,False,False,False,Manual,Berlina,5.0,136.0,5.0,6.0,2023.0,12,1
PORSCHE,Taycan 4 Cross Turismo,76900.0,1,0.0,76900.0,León,52036.0,False,True,False,False,False,False,False,False,False,Automático,Stationwagon,4.0,380.0,5.0,11.0,2021.0,12,0
KIA,Stonic 1.2 DPi Drive,18990.0,1,0.0,18990.0,Albacete,21514.0,False,False,False,True,False,False,False,False,False,Manual,Todo Terreno,5.0,84.0,5.0,3.0,2023.0,12,1
MAZDA,2 Hybrid 1.5 Homura CVT 85kW,23490.0,0,0.0,23490.0,Granada,5165.0,False,False,False,False,True,False,False,False,False,Automático,Berlina,5.0,116.0,5.0,2.0,2024.0,60,0
KIA,Ceed 1.0 T-GDI Concept,20659.0,0,0.0,20659.0,Vizcaya,6000.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,120.0,5.0,12.0,2023.0,72,1
PEUGEOT,408 PHEV 225 e-EAT8 GT,42000.0,1,0.0,42000.0,La Coruña,20500.0,False,False,False,False,True,False,False,False,False,Automático,Desconocido,0.0,224.0,5.0,1.0,2023.0,12,0
TOYOTA,Corolla SEDAN 1.8 HEV STYLE PLUS E-CVT 140 4P,28900.0,1,0.0,28900.0,Murcia,14900.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,0.0,140.0,4.0,3.0,2024.0,12,0
AUDI,A4 Avant 35 TDI Advanced S tronic 120kW,23700.0,1,0.0,23700.0,Pontevedra,103232.0,True,False,False,False,False,False,False,False,False,Automático,Stationwagon,5.0,163.0,5.0,8.0,2020.0,12,0
